geoCode	lon	lat
ID	101.892949	-0.954404
MY	113.83708	2.528667
CL	-72.318871	-38.151771
BO	-64.593433	-16.666015
PE	-72.90016	-12.976679
AR	-64.173331	-33.501159
-99	33.790583	35.011042
CY	33.084182	34.913329
IN	79.358105	22.686852
CN	106.337289	32.498178
IL	34.847915	30.911148
PS	35.291341	32.047431
LB	35.992892	34.133368
ET	39.0886	8.032795
SS	30.390151	7.230477
SO	45.19238	3.568925
KE	37.907632	0.549043
MW	33.608082	-13.386737
TZ	34.959183	-6.051866
SY	38.277783	35.006636
-99	46.731595	9.443889
-99	2.552275	46.696113
SR	-55.91094	4.143987
GY	-58.942643	5.124317
KR	128.129504	36.384924
KP	126.444516	39.885252
MA	-7.187296	31.650723
EH	-12.630304	23.967592
CR	-84.077922	10.0651
NI	-85.069347	12.670697
CG	15.9005	0.142331
CD	23.458829	-1.858167
BT	90.040294	27.536685
UA	32.140865	49.724739
BY	28.417701	53.821888
NA	17.108166	-20.575298
ZA	23.665734	-29.708776
MF	-63.049399	18.081302
SX	-63.070133	18.04088
OM	57.336553	22.120427
UZ	64.005429	41.693603
KZ	68.685548	49.054149
TJ	72.587276	38.199835
LT	24.089932	55.103703
BR	-49.55945	-12.098687
UY	-55.966942	-32.961127
MN	104.150405	45.997488
RU	44.686469	58.249357
CZ	15.377555	49.882364
DE	9.678348	50.961733
EE	25.867126	58.724865
LV	25.458723	57.066872
-99	9.679975	61.357092
SE	19.01705	65.85918
FI	27.276449	63.252361
VN	105.387292	21.715416
KH	104.50487	12.647584
LU	6.07762	49.733732
AE	54.547256	23.466285
BE	4.800448	50.785392
GE	43.735724	41.870087
MK	21.555839	41.558223
AL	20.11384	40.654855
AZ	47.210994	40.402387
-99	20.860719	42.593587
TR	34.508268	39.345388
ES	-3.464718	40.090953
LA	102.533912	19.431821
KG	74.532637	41.66854
AM	44.800564	40.459077
DK	9.018163	55.966965
LY	18.011015	26.638944
TN	9.007881	33.687263
RO	24.972624	45.733237
HU	19.447867	47.086841
SK	19.049868	48.734044
PL	19.490468	51.990316
IE	-7.798588	53.078726
GB	-2.116346	54.402739
GR	21.72568	39.492763
ZM	26.395298	-14.660804
SL	-11.763677	8.617449
GN	-10.016402	10.618516
LR	-9.460379	6.447177
CF	20.906897	6.989681
SD	29.260657	16.330746
DJ	42.498825	11.976343
ER	38.285566	15.787401
AT	14.130515	47.518859
IQ	43.26181	33.09403
IT	11.076907	44.732482
CH	7.463965	46.719114
IR	54.931495	32.166225
NL	5.61144	52.422211
LI	9.559439	47.111405
CI	-5.568618	7.49139
RS	20.787989	44.189919
ML	-2.038455	18.692713
SN	-14.778586	15.138125
NG	7.50322	9.439799
BJ	2.352018	10.324775
AO	17.984249	-12.182762
HR	16.37241	45.805799
SI	14.915312	46.06076
QA	51.143509	25.237383
SA	44.6996	23.806908
BW	24.179216	-22.102634
ZW	29.925444	-18.91164
PK	68.545632	29.328389
BG	25.15709	42.508785
TH	101.073198	15.45974
SM	12.441206	43.933916
HT	-72.224051	19.263784
DO	-70.653998	19.104137
TD	18.645041	15.142959
KW	47.313999	29.413628
SV	-88.890124	13.685371
GT	-90.497134	14.982133
TL	125.854679	-8.803705
BN	114.551943	4.448298
MC	7.398291	43.739652
DZ	2.808241	27.397406
MZ	37.83789	-13.94323
SZ	31.467264	-26.533676
BI	29.917086	-3.332836
RW	30.103894	-1.897196
MM	95.804497	21.573855
BD	89.684963	24.214956
AD	1.539409	42.547643
AF	66.496586	34.164262
ME	19.143727	42.803101
BA	18.06841	44.091051
UG	32.948555	1.972589
-99	-75.117277	19.918398
CU	-77.975855	21.334024
HN	-86.887604	14.794801
EC	-78.188375	-1.259076
CO	-73.174347	3.373111
PY	-60.146394	-21.674509
-99	-57.623042	-30.187555
PT	-8.271754	39.606675
MD	28.487904	47.434999
TM	58.676647	39.855246
JO	36.375991	30.805025
NP	83.639914	28.297925
LS	28.246639	-29.480158
CM	12.473488	4.585041
GA	11.835939	-0.437739
NE	9.504356	17.446195
BF	-1.36388	12.673048
TG	1.058113	8.80722
GH	-1.036941	7.717639
GW	-14.52413	12.163712
GI	-5.3467	36.129426
US	-97.482602	39.538479
CA	-101.9107	60.324287
MX	-102.289448	23.919988
BZ	-88.712962	17.202068
PA	-80.352106	8.72198
VE	-64.599381	7.182476
PG	143.910216	-5.695285
EG	29.445837	26.186173
YE	45.874383	15.328226
MR	-9.740299	19.587062
GQ	8.9902	2.333
GM	-14.998318	13.641721
HK	114.097769	22.448829
VA	12.453418	41.903323
-99	33.692434	35.216071
-99	33.288134	35.140713
-99	77.129553	35.340606
-99	63.383897	45.978332
-99	32.979025	34.60083
-99	-73.31378	-49.511034
-99	33.673428	21.860442
AQ	35.885455	-79.843222
AU	134.04972	-24.129522
GL	-39.335251	74.319387
FJ	177.975427	-17.826099
NZ	172.787	-39.759
NC	165.084004	-21.064697
MG	46.704241	-18.628288
PH	122.465	11.198
LK	80.704823	7.581097
CW	-68.920578	12.145039
AW	-69.972795	12.5174
BS	-77.146688	26.401789
TC	-71.752704	21.81663
CN-TW	120.868204	23.652408
JP	138.44217	36.142538
PM	-56.332352	47.040344
IS	-18.673711	64.779286
PN	-128.317536	-24.364576
PF	-149.46157	-17.628081
TF	69.122136	-49.303721
SC	55.480175	-4.676659
KI	-157.384577	1.820437
MH	171.193609	7.082568
TT	-60.9184	10.9989
GD	-61.680461	12.113156
VC	-61.3359	13.0879
BB	-59.568966	13.163709
LC	-60.980094	13.892371
DM	-61.344958	15.458829
UM	166.644535	19.285663
MS	-62.188252	16.73717
AG	-61.790612	17.352249
KN	-62.757975	17.336558
VI	-64.779172	17.746706
BL	-62.833193	17.901987
PR	-66.481065	18.234668
AI	-63.026361	18.242979
VG	-64.63661	18.426606
JM	-77.318767	18.137124
KY	-81.24055	19.319862
BM	-64.763573	32.296592
HM	73.50521	-53.103462
SH	-5.71262	-15.950487
MU	57.565848	-20.299506
KM	43.318094	-11.727683
ST	7.021	0.9709
